Bookmaker,Player,Stat Type,Over/Under,Odds,Line
draftkings,Aaron Nesmith,Points,Over,-118,11.5
draftkings,Aaron Nesmith,Points,Under,-102,11.5
draftkings,Alec Burks,Points,Over,105,10.5
draftkings,Alec Burks,Points,Under,-125,10.5
draftkings,Andrew Nembhard,Points,Over,-102,9.5
draftkings,Andrew Nembhard,Points,Under,-118,9.5
draftkings,Ben Sheppard,Points,Over,105,6.5
draftkings,Ben Sheppard,Points,Under,-125,6.5
draftkings,Donte DiVincenzo,Points,Over,-110,18.5
draftkings,Donte DiVincenzo,Points,Under,-110,18.5
draftkings,Isaiah Hartenstein,Points,Over,-105,11.5
draftkings,Isaiah Hartenstein,Points,Under,-115,11.5
draftkings,Isaiah Jackson,Points,Over,124,2.5
draftkings,Isaiah Jackson,Points,Under,-148,2.5
draftkings,Jalen Brunson,Points,Over,-115,34.5
draftkings,Jalen Brunson,Points,Under,-105,34.5
draftkings,Miles McBride,Points,Over,-120,16.5
draftkings,Miles McBride,Points,Under,100,16.5
draftkings,Myles Turner,Points,Over,-110,17.5
draftkings,Myles Turner,Points,Under,-110,17.5
draftkings,Obi Toppin,Points,Over,-125,9.5
draftkings,Obi Toppin,Points,Under,105,9.5
draftkings,Pascal Siakam,Points,Over,102,20.5
draftkings,Pascal Siakam,Points,Under,-122,20.5
draftkings,Precious Achiuwa,Points,Over,-135,3.5
draftkings,Precious Achiuwa,Points,Under,114,3.5
draftkings,T.J. McConnell,Points,Over,-125,11.5
draftkings,T.J. McConnell,Points,Under,105,11.5
draftkings,Tyrese Haliburton,Points,Over,-105,18.5
draftkings,Tyrese Haliburton,Points,Under,-115,18.5
fanduel,Isaiah Hartenstein,Points,Over,-136,10.5
fanduel,Isaiah Hartenstein,Points,Under,106,10.5
fanduel,Andrew Nembhard,Points,Over,-136,8.5
fanduel,Andrew Nembhard,Points,Under,106,8.5
fanduel,Ben Sheppard,Points,Over,-111,6.5
fanduel,Ben Sheppard,Points,Under,-115,6.5
fanduel,Donte DiVincenzo,Points,Over,-108,18.5
fanduel,Donte DiVincenzo,Points,Under,-118,18.5
fanduel,Tyrese Haliburton,Points,Over,-111,18.5
fanduel,Tyrese Haliburton,Points,Under,-115,18.5
fanduel,Miles McBride,Points,Over,-128,16.5
fanduel,Miles McBride,Points,Under,100,16.5
fanduel,Alec Burks,Points,Over,-128,9.5
fanduel,Alec Burks,Points,Under,100,9.5
fanduel,Obi Toppin,Points,Over,-118,9.5
fanduel,Obi Toppin,Points,Under,-108,9.5
fanduel,T.J. McConnell,Points,Over,-113,11.5
fanduel,T.J. McConnell,Points,Under,-113,11.5
fanduel,Jalen Brunson,Points,Over,-118,34.5
fanduel,Jalen Brunson,Points,Under,-108,34.5
fanduel,Precious Achiuwa,Points,Over,-108,3.5
fanduel,Precious Achiuwa,Points,Under,-118,3.5
fanduel,Pascal Siakam,Points,Over,-120,22.5
fanduel,Pascal Siakam,Points,Under,-106,22.5
fanduel,Aaron Nesmith,Points,Over,-106,11.5
fanduel,Aaron Nesmith,Points,Under,-120,11.5
fanduel,Myles Turner,Points,Over,-113,16.5
fanduel,Myles Turner,Points,Under,-113,16.5
betrivers,Isaiah Hartenstein,Points,Over,-148,10.5
betrivers,Isaiah Hartenstein,Points,Under,105,10.5
betrivers,Jalen Brunson,Points,Over,-124,34.5
betrivers,Jalen Brunson,Points,Under,-113,34.5
betrivers,Donte DiVincenzo,Points,Over,-124,17.5
betrivers,Donte DiVincenzo,Points,Under,-112,17.5
betrivers,Donte DiVincenzo,Points,Over,107,18.5
betrivers,Donte DiVincenzo,Points,Under,-150,18.5
betrivers,Jalen Brunson,Points,Over,102,35.5
betrivers,Jalen Brunson,Points,Under,-141,35.5
betrivers,Isaiah Hartenstein,Points,Over,-115,11.5
betrivers,Isaiah Hartenstein,Points,Under,-121,11.5
betrivers,Jalen Brunson,Points,Over,-157,33.5
betrivers,Jalen Brunson,Points,Under,112,33.5
betrivers,Tyrese Haliburton,Points,Over,-117,19.5
betrivers,Tyrese Haliburton,Points,Under,-120,19.5
betrivers,Myles Turner,Points,Over,-167,16.5
betrivers,Myles Turner,Points,Under,120,16.5
betrivers,Aaron Nesmith,Points,Over,-120,11.5
betrivers,Aaron Nesmith,Points,Under,-115,11.5
betrivers,Tyrese Haliburton,Points,Over,108,20.5
betrivers,Tyrese Haliburton,Points,Under,-150,20.5
betrivers,Pascal Siakam,Points,Over,-108,22.5
betrivers,Pascal Siakam,Points,Under,-129,22.5
betrivers,Myles Turner,Points,Over,-124,17.5
betrivers,Myles Turner,Points,Under,-113,17.5
betrivers,Myles Turner,Points,Over,110,18.5
betrivers,Myles Turner,Points,Under,-152,18.5
betrivers,Pascal Siakam,Points,Over,-139,21.5
betrivers,Pascal Siakam,Points,Under,100,21.5
betrivers,Pascal Siakam,Points,Over,120,23.5
betrivers,Pascal Siakam,Points,Under,-167,23.5
betrivers,Tyrese Haliburton,Points,Over,-148,18.5
betrivers,Tyrese Haliburton,Points,Under,106,18.5
betrivers,Aaron Nesmith,Points,Over,120,12.5
betrivers,Aaron Nesmith,Points,Under,-167,12.5
betrivers,Obi Toppin,Points,Over,100,10.5
betrivers,Obi Toppin,Points,Under,-137,10.5
betrivers,Obi Toppin,Points,Over,-148,9.5
betrivers,Obi Toppin,Points,Under,104,9.5
betrivers,T.J. McConnell,Points,Over,-105,12.5
betrivers,T.J. McConnell,Points,Under,-132,12.5
betrivers,T.J. McConnell,Points,Over,-157,11.5
betrivers,T.J. McConnell,Points,Under,112,11.5
betrivers,Miles McBride,Points,Over,-120,17.5
betrivers,Miles McBride,Points,Under,-117,17.5
betrivers,Miles McBride,Points,Over,116,18.5
betrivers,Miles McBride,Points,Under,-162,18.5
betrivers,Donte DiVincenzo,Points,Over,-162,16.5
betrivers,Donte DiVincenzo,Points,Under,117,16.5
betrivers,Josh Hart,Points,Over,-136,21.5
betrivers,Josh Hart,Points,Under,-103,21.5
betrivers,Josh Hart,Points,Over,104,22.5
betrivers,Josh Hart,Points,Under,-148,22.5
unibet_us,Isaiah Hartenstein,Points,Over,-165,10.5
unibet_us,Isaiah Hartenstein,Points,Under,115,10.5
unibet_us,Jalen Brunson,Points,Over,-162,31.5
unibet_us,Jalen Brunson,Points,Under,112,31.5
unibet_us,Donte DiVincenzo,Points,Over,-134,17.5
unibet_us,Donte DiVincenzo,Points,Under,-107,17.5
unibet_us,Donte DiVincenzo,Points,Over,-103,18.5
