Bookmaker,Player,Stat Type,Over/Under,Odds,Line
williamhill_us,Devin Vassell,Points,Over,-120,19.5
williamhill_us,Devin Vassell,Points,Under,-120,19.5
williamhill_us,Devin Vassell,Turnovers,Over,226,2.5
williamhill_us,Devin Vassell,Turnovers,Under,-362,2.5
draftkings,Aaron Gordon,Points,Over,-120,17.5
draftkings,Aaron Gordon,Points,Under,-110,17.5
draftkings,Bruce Brown Jr,Points,Over,-140,14.5
draftkings,Bruce Brown Jr,Points,Under,105,14.5
draftkings,Gradey Dick,Points,Over,-120,18.5
draftkings,Gradey Dick,Points,Under,-110,18.5
draftkings,Jamal Murray,Points,Over,-125,16.5
draftkings,Jamal Murray,Points,Under,-105,16.5
draftkings,Kelly Olynyk,Points,Over,-135,17.5
draftkings,Kelly Olynyk,Points,Under,105,17.5
draftkings,Kentavious Caldwell-Pope,Points,Over,-120,4.5
draftkings,Kentavious Caldwell-Pope,Points,Under,-110,4.5
draftkings,Michael Porter Jr,Points,Over,-125,19.5
draftkings,Michael Porter Jr,Points,Under,-105,19.5
draftkings,Nikola Jokic,Points,Over,-130,28.5
draftkings,Nikola Jokic,Points,Under,100,28.5
draftkings,Ochai Agbaji,Points,Over,-105,7.5
draftkings,Ochai Agbaji,Points,Under,-125,7.5
draftkings,R.J. Barrett,Points,Over,-110,25.5
draftkings,R.J. Barrett,Points,Under,-120,25.5
fanduel,Aaron Gordon,Points,Over,-128,17.5
fanduel,Aaron Gordon,Points,Under,100,17.5
fanduel,Jamal Murray,Points,Over,-115,15.5
fanduel,Jamal Murray,Points,Under,-111,15.5
fanduel,Michael Porter Jr,Points,Over,-115,19.5
fanduel,Michael Porter Jr,Points,Under,-111,19.5
fanduel,Kelly Olynyk,Points,Over,-104,17.5
fanduel,Kelly Olynyk,Points,Under,-122,17.5
fanduel,R.J. Barrett,Points,Over,-128,23.5
fanduel,R.J. Barrett,Points,Under,100,23.5
fanduel,Nikola Jokic,Points,Over,-128,26.5
fanduel,Nikola Jokic,Points,Under,100,26.5
unibet_us,Nikola Jokic,Points,Over,-130,29.5
unibet_us,Nikola Jokic,Points,Under,-109,29.5
unibet_us,Jamal Murray,Points,Over,-106,19.5
unibet_us,Jamal Murray,Points,Under,-136,19.5
unibet_us,R.J. Barrett,Points,Over,-104,25.5
unibet_us,R.J. Barrett,Points,Under,-137,25.5
unibet_us,Michael Porter Jr,Points,Over,-107,20.5
unibet_us,Michael Porter Jr,Points,Under,-132,20.5
unibet_us,Ochai Agbaji,Points,Over,-108,7.5
unibet_us,Ochai Agbaji,Points,Under,-132,7.5
unibet_us,Aaron Gordon,Points,Over,100,18.5
unibet_us,Aaron Gordon,Points,Under,-139,18.5
unibet_us,Kelly Olynyk,Points,Over,-122,18.5
unibet_us,Kelly Olynyk,Points,Under,-117,18.5
unibet_us,Gradey Dick,Points,Over,-125,18.5
unibet_us,Gradey Dick,Points,Under,-113,18.5
betrivers,Nikola Jokic,Points,Over,-121,29.5
betrivers,Nikola Jokic,Points,Under,-115,29.5
betrivers,Jamal Murray,Points,Over,-103,19.5
betrivers,Jamal Murray,Points,Under,-136,19.5
betrivers,R.J. Barrett,Points,Over,102,25.5
betrivers,R.J. Barrett,Points,Under,-141,25.5
betrivers,Michael Porter Jr,Points,Over,-107,20.5
betrivers,Michael Porter Jr,Points,Under,-130,20.5
