Bookmaker,Player,Stat Type,Over/Under,Odds,Books,DFS,Edge Type
draftkings,Grayson Allen,Points,Over,-125,11.5,11.5,Favored Line
draftkings,Fred VanVleet,Rebs+Asts,Over,-125,12.5,12.5,Favored Line
draftkings,Deni Avdija,Rebs+Asts,Over,-125,11.5,11.5,Favored Line
draftkings,Amen Thompson,Rebs+Asts,Under,-125,11.5,11.5,Favored Line
draftkings,Amen Thompson,Pts+Asts,Under,-125,15.5,15.5,Favored Line
draftkings,Jalen Green,Pts+Rebs,Over,-125,28.5,28.5,Favored Line
draftkings,Dillon Brooks,Pts+Rebs,Over,-125,17.5,17.5,Favored Line
draftkings,Deni Avdija,Pts+Rebs,Over,-125,24.5,24.5,Favored Line
draftkings,Fred VanVleet,Pts+Rebs+Asts,Over,-125,34.5,34.5,Favored Line
draftkings,Kyle Kuzma,Turnovers,Over,-130,2.5,2.5,Favored Line
draftkings,Deni Avdija,Blks+Stls,Under,-130,1.5,1.5,Favored Line
draftkings,Tyus Jones,Assists,Over,-130,8.5,8.5,Favored Line
draftkings,Jalen Green,Assists,Over,-125,3.5,3.5,Favored Line
draftkings,Fred VanVleet,Rebounds,Under,-130,4.5,4.5,Favored Line
draftkings,Kyle Kuzma,Rebs+Asts,Over,-125,11.5,11.5,Favored Line
draftkings,Deni Avdija,Rebounds,Over,-130,8.5,8.5,Favored Line
draftkings,Deni Avdija,Points,Over,-130,15.5,15.5,Favored Line
draftkings,Amen Thompson,Points,Over,-130,11.5,11.5,Favored Line
draftkings,Jusuf Nurkic,Pts+Asts,Under,-130,14.5,14.5,Favored Line
draftkings,Jayson Tatum,Pts+Asts,Over,-125,35.5,35.5,Favored Line
draftkings,Jayson Tatum,Pts+Rebs,Over,-125,38.5,38.5,Favored Line
draftkings,Grayson Allen,Pts+Rebs+Asts,Over,-130,17.5,17.5,Favored Line
draftkings,Jusuf Nurkic,Turnovers,Over,-125,1.5,1.5,Favored Line
draftkings,Jayson Tatum,Blks+Stls,Over,-125,1.5,1.5,Favored Line
draftkings,Bradley Beal,Assists,Over,-125,4.5,4.5,Favored Line
draftkings,Jusuf Nurkic,Rebounds,Under,-125,11.5,11.5,Favored Line
draftkings,Jayson Tatum,Rebounds,Under,-130,8.5,8.5,Favored Line
draftkings,Kevin Durant,Points,Under,-125,27.5,27.5,Favored Line
draftkings,Jusuf Nurkic,Points,Over,-125,10.5,10.5,Favored Line
draftkings,Fred VanVleet,Points,Over,-125,21.5,21.5,Favored Line
draftkings,Tyus Jones,Rebs+Asts,Over,-130,11.5,11.5,Favored Line
