Bookmaker,Player,Split,Odds,Books,DFS
draftkings,Kyrie Irving,Under,-130,5.5,5.5
fanduel,Kyrie Irving,Under,-138,5.5,5.5
betmgm,Kyrie Irving,Under,-135,5.5,5.5
bovada,Kyrie Irving,Under,-130,5.5,5.5
draftkings,Jakob Poeltl,Over,-130,8.5,8.5
betmgm,Jakob Poeltl,Over,-140,8.5,8.5
bovada,Jakob Poeltl,Over,-130,8.5,8.5
fanduel,Andrew Nembhard,Under,-138,2.5,2.5
fanduel,Zion Williamson,Under,-138,5.5,5.5
betmgm,Zion Williamson,Under,-130,5.5,5.5
draftkings,Coby White,Over,-130,4.5,4.5
betmgm,Coby White,Over,-140,4.5,4.5
bovada,Coby White,Over,-130,4.5,4.5
draftkings,Nikola Vucevic,Over,-130,10.5,10.5
betmgm,Nikola Vucevic,Over,-135,10.5,10.5
bovada,Nikola Vucevic,Over,-130,10.5,10.5
betmgm,Jarrett Allen,Over,-130,10.5,10.5
draftkings,Caris LeVert,Over,-130,3.5,3.5
betmgm,Caris LeVert,Over,-130,3.5,3.5
bovada,Caris LeVert,Over,-130,3.5,3.5
draftkings,Vince Williams Jr.,Over,-130,5.5,5.5
fanduel,Ziaire Williams,Under,-130,3.5,3.5
draftkings,Nikola Jokic,Over,-130,12.5,12.5
betmgm,Nikola Jokic,Over,-135,12.5,12.5
bovada,Nikola Jokic,Over,-130,12.5,12.5
draftkings,Kawhi Leonard,Over,-135,6.5,6.5
fanduel,Kawhi Leonard,Over,-138,6.5,6.5
betmgm,Kawhi Leonard,Over,-135,6.5,6.5
bovada,Kawhi Leonard,Over,-135,6.5,6.5
fanduel,LeBron James,Under,-138,6.5,6.5
draftkings,James Harden,Over,-135,5.5,5.5
fanduel,James Harden,Over,-136,5.5,5.5
betmgm,James Harden,Over,-135,5.5,5.5
bovada,James Harden,Over,-135,5.5,5.5
draftkings,Anthony Davis,Under,-130,13.5,13.5
fanduel,Anthony Davis,Under,-136,13.5,13.5
betmgm,Anthony Davis,Under,-130,13.5,13.5
draftkings,Luka Doncic,Over,-115,8.5,8.5
draftkings,Luka Doncic,Under,-115,8.5,8.5
betonlineag,Luka Doncic,Under,-119,8.5,8.5
betonlineag,Luka Doncic,Over,-109,8.5,8.5
williamhill_us,Luka Doncic,Over,-113,8.5,8.5
williamhill_us,Luka Doncic,Under,-121,8.5,8.5
fanduel,Luka Doncic,Over,100,8.5,8.5
fanduel,Luka Doncic,Under,-128,8.5,8.5
betmgm,Luka Doncic,Over,-115,8.5,8.5
betmgm,Luka Doncic,Under,-115,8.5,8.5
bovada,Luka Doncic,Over,-115,8.5,8.5
bovada,Luka Doncic,Under,-115,8.5,8.5
draftkings,Kyrie Irving,Over,100,5.5,5.5
betonlineag,Kyrie Irving,Under,-128,5.5,5.5
betonlineag,Kyrie Irving,Over,-101,5.5,5.5
williamhill_us,Kyrie Irving,Over,-103,5.5,5.5
williamhill_us,Kyrie Irving,Under,-133,5.5,5.5
fanduel,Kyrie Irving,Over,108,5.5,5.5
betmgm,Kyrie Irving,Over,100,5.5,5.5
bovada,Kyrie Irving,Over,100,5.5,5.5
draftkings,P.J. Washington,Over,-115,5.5,5.5
draftkings,P.J. Washington,Under,-115,5.5,5.5
fanduel,P.J. Washington,Over,-111,5.5,5.5
fanduel,P.J. Washington,Under,-115,5.5,5.5
draftkings,Gary Trent Jr.,Over,-120,2.5,2.5
draftkings,Gary Trent Jr.,Under,-110,2.5,2.5
betonlineag,Gary Trent Jr.,Under,-110,2.5,2.5
betonlineag,Gary Trent Jr.,Over,-118,2.5,2.5
williamhill_us,Gary Trent Jr.,Over,-121,2.5,2.5
williamhill_us,Gary Trent Jr.,Under,-113,2.5,2.5
betmgm,Gary Trent Jr.,Over,-120,2.5,2.5
betmgm,Gary Trent Jr.,Under,-110,2.5,2.5
bovada,Gary Trent Jr.,Over,-120,2.5,2.5
bovada,Gary Trent Jr.,Under,-110,2.5,2.5
draftkings,Jakob Poeltl,Under,100,8.5,8.5
betonlineag,Jakob Poeltl,Under,100,8.5,8.5
betonlineag,Jakob Poeltl,Over,-130,8.5,8.5
williamhill_us,Jakob Poeltl,Over,-131,8.5,8.5
williamhill_us,Jakob Poeltl,Under,-104,8.5,8.5
fanduel,Jakob Poeltl,Over,-118,8.5,8.5
fanduel,Jakob Poeltl,Under,-108,8.5,8.5
betmgm,Jakob Poeltl,Under,105,8.5,8.5
bovada,Jakob Poeltl,Under,100,8.5,8.5
fanduel,Andrew Nembhard,Over,108,2.5,2.5
draftkings,Andrew Nembhard,Over,-110,2.5,2.5
draftkings,Andrew Nembhard,Under,-120,2.5,2.5
betmgm,Andrew Nembhard,Over,-105,2.5,2.5
betmgm,Andrew Nembhard,Under,-125,2.5,2.5
williamhill_us,Andrew Nembhard,Over,-113,2.5,2.5
williamhill_us,Andrew Nembhard,Under,-121,2.5,2.5
bovada,Andrew Nembhard,Over,-110,2.5,2.5
bovada,Andrew Nembhard,Under,-120,2.5,2.5
fanduel,Myles Turner,Over,-113,7.5,7.5
fanduel,Myles Turner,Under,-113,7.5,7.5
draftkings,Myles Turner,Over,-105,7.5,7.5
draftkings,Myles Turner,Under,-125,7.5,7.5
betmgm,Myles Turner,Over,-110,7.5,7.5
betmgm,Myles Turner,Under,-125,7.5,7.5
williamhill_us,Myles Turner,Over,-109,7.5,7.5
williamhill_us,Myles Turner,Under,-125,7.5,7.5
bovada,Myles Turner,Over,-105,7.5,7.5
bovada,Myles Turner,Under,-125,7.5,7.5
fanduel,Zion Williamson,Over,108,5.5,5.5
draftkings,Zion Williamson,Over,-105,5.5,5.5
draftkings,Zion Williamson,Under,-125,5.5,5.5
betmgm,Zion Williamson,Over,100,5.5,5.5
williamhill_us,Zion Williamson,Over,-101,5.5,5.5
williamhill_us,Zion Williamson,Under,-135,5.5,5.5
bovada,Zion Williamson,Over,-105,5.5,5.5
bovada,Zion Williamson,Under,-125,5.5,5.5
fanduel,Pascal Siakam,Over,-115,6.5,6.5
fanduel,Pascal Siakam,Under,-111,6.5,6.5
draftkings,Pascal Siakam,Over,-105,6.5,6.5
